mezcla,politica,run,app,ipc,nucleos
4,2,1,sjeng,1.7757199719017072,27
4,2,1,mcf_rREPEAT,0.9872323107301679,110
4,2,1,omnetpp_r,1.0710113502186085,10
4,2,1,nab_r,1.6130191574046953,417
4,2,2,astar,1.189460400704819,4
4,2,2,mcf_r,0.9948120628168203,104
4,2,2,hmmer,1.555677810563569,77
4,2,2,leela_r,1.4618267654964576,547
4,2,2,sjeng,1.7727633983909292,25
4,2,2,mcf_rREPEAT,0.9804427555535785,98
4,2,2,omnetpp_r,1.0724347033954447,10
4,2,2,nab_r,1.615634928586087,413
4,2,3,astar,1.1897053726298739,4
4,2,3,mcf_r,0.9891560647935187,92
4,2,3,hmmer,1.555135174079741,81
4,2,3,leela_r,1.4641317371948106,551
4,2,3,sjeng,1.7730613232753185,27
4,2,3,mcf_rREPEAT,0.993678159264898,112
4,2,3,omnetpp_r,1.0759207010897374,8
4,2,3,nab_r,1.6143664446940473,423
4,3,1,astar,1.2294680214584244,1526
4,3,1,mcf_r,0.9333070411844775,1497
4,3,1,hmmer,1.5711287030978691,1474
4,3,1,leela_r,1.4641594683119603,1527
4,3,1,sjeng,1.8357814866234161,1469
4,3,1,mcf_rREPEAT,0.9328414231241586,1520
4,3,1,omnetpp_r,0.918464732714129,1501
4,3,1,nab_r,1.8863755693239772,1430
4,3,2,astar,1.2380511646563512,1486
4,3,2,mcf_r,0.9325094332081381,1468
4,3,2,hmmer,1.570416099222978,1477
4,3,2,leela_r,1.463219271360868,1492
4,3,2,sjeng,1.8338924237265621,1465
4,3,2,mcf_rREPEAT,0.9311864627451407,1478
4,3,2,omnetpp_r,0.9171658195099527,1507
4,3,2,nab_r,1.8897351198204457,1497
4,3,3,astar,1.221809247021675,1504
4,3,3,mcf_r,0.9333213740677531,1493
4,3,3,hmmer,1.5717889422646076,1507
4,3,3,leela_r,1.464229760817892,1490
4,3,3,sjeng,1.8343040249238218,1500
4,3,3,mcf_rREPEAT,0.9333095019928466,1501
4,3,3,omnetpp_r,0.9201278424103163,1526
